SPECIES;LOCALITY;DATE;SEX;GEOGRAPHY;GROUP;SVL;HL;HW;HH;FLL;HLL;EL;NED;EED;IORD;SW;TD;TOL;FIL;FIPL;IPW;PW;PL;MSOL;SDLT;SDLF;NSL;NIL;NDS;NVS;RVS;NEE
Heremites vittatus;Öncüpýnar, Kilis, Turkey;24.04.2005;female;Arabian;Arabian_female;87.57;15.31;9.41;7.34;20.26;29.49;4.21;3.82;4.56;5.55;4.45;1.79;8.81;4.99;8.03;1.93;3.45;2.62;2.75;17;11;7;7;31;44;8;6
Heremites vittatus;Öncüpýnar, Kilis, Turkey;24.04.2005;female;Arabian;Arabian_female;62.35;12.68;6.79;5.46;14.64;22.88;3.45;3.05;3.51;4.58;3.18;1.17;8.84;4.47;7.11;1.83;2.9;2.27;2.22;17;10;7;7;33;43;10;6
Heremites vittatus;Kemaliye village, between Kilis and Elbeyli, Turkey ;24.04.2005;female;Arabian;Arabian_female;82.16;14.97;8.99;6.65;17.7;26.67;4.37;3.67;3.58;5.37;3.69;1.65;9.7;5.51;8.42;1.79;3.43;2.55;1.99;18;13;7;7;32;43;8;7
Heremites vittatus;Kemaliye village, between Kilis and Elbeyli, Turkey ;24.04.2005;female;Arabian;Arabian_female;85.69;15.36;9.54;7.14;19.34;29.26;4.15;3.6;4.34;5.84;4.13;1.75;9.8;5.77;8.75;1.95;3.78;2.79;2.84;17;13;7;7;32;44;8;6
Heremites vittatus;Kemaliye village, between Kilis and Elbeyli, Turkey ;24.04.2005;female;Arabian;Arabian_female;78.42;14.26;8.28;6.56;17.77;25.94;3.8;3.41;3.8;5.31;3.55;1.47;8.47;5.09;7.75;2.22;3.59;2.1;1.76;17;12;7;7;32;42;8;6
Heremites vittatus;Kemaliye village, between Kilis and Elbeyli, Turkey ;24.04.2005;female;Arabian;Arabian_female;64.27;13.15;6.91;5.47;15.66;22.81;3.34;3.06;3.4;5.14;4.05;1.32;8.19;4.91;6.96;1.88;2.92;2;1.84;16;12;7;7;32;40;8;6
Heremites vittatus;Yavuzlu, Kilis, Turkey;13.04.2006;female;Arabian;Arabian_female;83.9;14.44;9.42;7.52;18.81;28.72;4.13;3.92;4.64;6.04;4.6;2.07;9.39;4.55;8.71;2.18;3.5;2.78;2.35;17;11;7;7;34;43;10;6
Heremites vittatus;Yavuzlu, Kilis, Turkey;13.04.2006;female;Arabian;Arabian_female;73.94;13.47;8.18;6.36;15.95;26.04;3.28;3.92;4.26;5.1;3.17;1.75;8;4.05;7.92;1.95;3.42;2.74;2.08;18;13;7;7;34;41;8;6
Heremites vittatus;Gaziantep, Turkey;1.05.1996;female;Arabian;Arabian_female;85.59;13.77;9.45;6.48;17.88;30.01;3.04;3.97;4.81;5.43;3.78;1.38;8.41;4.27;9.16;2.07;3.8;2.63;2.81;16;12;7;7;32;46;10;6
Heremites vittatus;Gaziantep, Turkey;1.05.1996;female;Arabian;Arabian_female;76;13.39;7.95;6.34;17.39;25.71;3.16;3.52;3.66;4.52;3.49;1.99;7.95;3.58;8;1.97;3.07;2.97;2.3;16;11;7;7;32;46;8;6
Heremites vittatus;Islahiye, Gaziantep, Turkey;8.09.1999;female;Arabian;Arabian_female;61.03;12.09;6.68;5.73;14.83;22.53;2.61;2.85;3.74;3.89;3.59;1.16;7.71;3.58;6.67;2.05;3.41;2.67;2.32;17;13;7;7;32;43;10;5
Heremites vittatus;Nurdaðý, Gaziantep, Turkey;8.09.1999;female;Arabian;Arabian_female;82.41;14.48;8.77;7.29;19.18;29.84;3.43;3.93;4.43;5.24;4.1;1.9;9.64;4.47;8.7;2.56;3.38;2.88;2.38;16;12;7;7;32;45;8;6
Heremites vittatus;Zincirlihöyük, Fevzipaþa, Islahiye, Gaziantep, Turkey;14.04.2006;female;Arabian;Arabian_female;80.51;13.91;8.08;6.81;18.45;25.98;3.82;3.09;3.8;5.41;4.13;1.53;9.42;4.94;7.85;2.16;3.38;2.35;2.2;17;13;7;7;34;43;8;6
Heremites vittatus;Zincirlihöyük, Fevzipaþa, Islahiye, Gaziantep, Turkey;14.04.2006;female;Arabian;Arabian_female;79.98;14.04;8.32;6.51;17.3;26.37;3.96;3.54;3.75;5.1;3.96;1.31;8.2;5.03;7.99;1.89;3.66;2.34;2.8;17;12;7;7;33;42;8;6
Heremites vittatus;Iþýklý village, Gaziantep, Turkey;10.06.1999;female;Arabian;Arabian_female;81.85;13.33;7.85;5.95;16.57;26.77;3.43;3.83;4.11;4.93;3.46;1.14;8.68;4.64;7.93;2.25;3.65;2.47;2.19;17;12;7;7;32;43;8;6
Heremites vittatus;Burç village, Gaziantep, Turkey;30.04.1996;female;Arabian;Arabian_female;61.84;11.7;6.98;5.59;14.76;21.8;3.04;3.1;3.65;4.45;3.16;1.45;7.61;3.48;7.01;1.47;3.18;2.61;1.94;17;11;7;7;32;45;10;7
Heremites vittatus;Burç village, Gaziantep, Turkey;30.04.1996;female;Arabian;Arabian_female;58.72;11.75;5.99;4.82;13.32;20.4;3.3;2.83;3.4;4.39;3.22;1.25;6.67;2.84;6.69;1.63;3.08;2.29;2.09;17;11;7;7;34;42;10;6
Heremites vittatus;Çevlik, Samandað, Hatay, Turkey;19.07.1998;female;Arabian;Arabian_female;77.38;13.94;8.44;6.28;17.72;26.95;3.92;3.11;3.79;4.73;3.49;1.42;8.45;4.36;7.78;1.79;2.86;2.57;2.44;17;12;8;7;33;40;8;6
Heremites vittatus;Botaþ, Ýskenderun, Hatay, Turkey;15.05.2009;female;Arabian;Arabian_female;75.92;14.25;8.3;6.78;16.37;25.35;4.28;3.09;3.87;5.91;3.4;2.11;9.46;4.83;7.48;1.86;3.79;2.56;2.62;18;12;7;8;34;43;8;6
Heremites vittatus;Botaþ, Ýskenderun, Hatay, Turkey;15.05.2009;female;Arabian;Arabian_female;71.31;13.34;8.14;5.89;15.5;23.95;3.7;3.14;3.94;5.19;3.72;1.49;8.05;4.69;7.07;1.55;3.32;2.8;2.25;16;11;7;7;34;45;8;6
Heremites vittatus;Botaþ, Ýskenderun, Hatay, Turkey;15.05.2009;female;Arabian;Arabian_female;72.29;13.9;8.12;5.82;15.7;25.29;4.24;2.97;3.21;4.86;3.3;1.47;8.13;4.28;7.35;1.76;3.01;2.5;2.48;17;12;7;7;34;46;8;6
Heremites vittatus;Botaþ, Ýskenderun, Hatay, Turkey;15.05.2009;female;Arabian;Arabian_female;72.04;13.07;7.42;6.02;15.07;24.3;4.5;2.89;3.57;4.95;3.53;1.48;7.75;4.44;7.31;1.63;3.02;2.62;2.54;15;12;7;7;32;45;8;6
Heremites vittatus;Botaþ, Ýskenderun, Hatay, Turkey;15.05.2009;female;Arabian;Arabian_female;66.87;12.77;6.57;5.25;14.55;23.05;3.76;2.82;3.08;4.3;3.9;1.67;7.51;3.71;6.98;1.78;3.03;2.63;2.04;16;11;7;7;32;41;8;6
Heremites vittatus;Çiftlikköyü, Altýnöüzü, Hatay, Turkey;31.03.1999;female;Arabian;Arabian_female;89.36;15.34;8.72;6.52;19.46;26.94;3.58;4.4;5.13;5.59;3.98;1.68;8.83;4.03;8.62;2.15;4.14;3.2;2.64;14;10;7;7;32;41;8;6
Heremites vittatus;Çiftlikköyü, Altýnöüzü, Hatay, Turkey;31.03.1999;female;Arabian;Arabian_female;81.86;14.29;8.06;6.62;17.63;25.89;3.22;4.2;5.16;5.06;3.86;1.43;8.65;3.8;8.21;2.36;3.66;2.6;2.53;16;12;7;7;33;41;8;6
Heremites vittatus;Sutaþý, Samandað, Hatay, Turkey;1.04.1999;female;Arabian;Arabian_female;86.19;15.36;8.4;6.64;18.45;29.17;3.23;4.7;5.16;5.04;4.12;1.92;9.65;4.33;8.08;2.16;3.23;2.46;2.23;16;13;8;8;34;47;10;6
Heremites vittatus;Çevlik, Samandað, Hatay, Turkey;1.04.1999;female;Arabian;Arabian_female;73.64;13.82;7.68;5.67;16.53;25.47;3.02;4.31;4.54;4.87;3.87;1.7;7.42;5;6.91;2.09;3.64;2.58;2.29;16;11;7;7;32;48;8;6
Heremites vittatus;Arsuz, Hatay, Turkey;6.09.1999;female;Arabian;Arabian_female;86.2;14.95;9.11;5.94;17.33;27.47;3.08;4.32;4.83;5.45;4.18;1.63;8.06;5.01;8.16;2.19;3.93;3.17;2.61;15;12;7;7;32;41;8;7
Heremites vittatus;Belen, Hatay, Turkey;9.04.1999;female;Arabian;Arabian_female;96.81;15.57;8.68;6.7;18.71;28.91;4.43;4.71;5.71;5.65;4.46;1.68;9.13;4.75;9.81;2.13;3.96;2.8;2.64;18;12;7;7;32;43;8;6
Heremites vittatus;Belen, Hatay, Turkey;9.04.1999;female;Arabian;Arabian_female;82.87;14.02;7.75;5.91;16.04;28.1;3.2;4.01;5;4.74;4.24;1.58;9.85;4.95;8;2.2;3.67;2.55;2.68;17;12;7;7;32;44;8;7
Heremites vittatus;Karaçay, Samandað, Hatay, Turkey;24.04.1999;female;Arabian;Arabian_female;86.54;15.3;9.01;7.21;17.79;27.2;4.01;4.53;4.46;5.91;4.5;1.67;7.84;4.59;8.77;1.67;2.34;2.73;2.88;15;11;7;7;32;45;8;6
Heremites vittatus;Karaçay, Samandað, Hatay, Turkey;24.04.1999;female;Arabian;Arabian_female;86.66;14.58;8.62;6.71;18.04;28.54;4.49;4.55;3.98;5.51;4.57;1.79;8.74;4.97;9.06;2.59;3.74;2.88;2.48;16;11;7;7;32;43;8;6
Heremites vittatus;Deniz, Samandað, Hatay, Turkey;18.07.1998;female;Arabian;Arabian_female;74.47;13.53;7.43;6.34;16.75;25.23;3.77;3.55;3.96;5;3.33;1.75;8.08;3.41;7.39;2.37;3.36;2.23;2.04;18;12;7;7;33;44;10;6
Heremites vittatus;Deniz, Samandað, Hatay, Turkey;18.07.1998;female;Arabian;Arabian_female;74.58;13.79;7.31;6.06;17.05;25.63;4.07;3.36;3.63;4.78;3.61;1.2;8.81;3.88;7.48;2.1;3.29;2.54;2.3;16;12;7;7;32;39;8;6
Heremites vittatus;Deniz, Samandað, Hatay, Turkey;18.07.1998;female;Arabian;Arabian_female;70.78;13.56;7.07;6.12;16.46;25.17;3.75;3.54;3.65;4.86;3.84;1.26;7.5;4.13;7.02;1.93;3.21;2.28;2.64;15;10;6;7;32;41;8;6
Heremites vittatus;Deniz, Samandað, Hatay, Turkey;18.07.1998;female;Arabian;Arabian_female;72.78;13.34;7.13;5.98;14.8;23.3;3.87;3.33;3.42;4.9;3.17;1.76;8.23;4.2;7.14;1.87;3.14;2.19;2.33;15;11;7;7;32;39;10;6
Heremites vittatus;Deniz, Samandað, Hatay, Turkey;18.07.1998;female;Arabian;Arabian_female;88.91;15.51;8.53;6.71;19.24;28.57;4.33;3.29;3.84;5.49;4.13;1.78;8.3;4.66;8.08;1.88;3.54;2.77;2.59;16;11;7;8;34;40;8;6
Heremites vittatus;Samandað, Hatay, Turkey;9.06.1996;female;Arabian;Arabian_female;71.32;12.88;8.32;6.32;16.65;27.32;3.9;3.26;3.4;5.1;3.74;1.66;8.75;4.83;7.21;1.72;3.25;2.62;2.74;18;12;7;7;34;41;8;7
Heremites vittatus;Kesmeburun, Osmaniye, Turkey;29.03.1986;female;Arabian;Arabian_female;91.6;15.03;9.66;7.21;18.86;30.58;4.54;3.54;4.12;5.63;4.23;1.52;10.45;5.16;8.42;1.89;3.7;2.71;2.66;17;10;7;7;32;42;8;6
Heremites vittatus;Karabýyýklý village, Pazarcýk, Kahramanmaraþ, Turkey;29.04.2014;female;Anatolian;Anatolian_female;84.54;14.7;8.6;7.04;17.27;26.77;3.71;3.72;4;5.73;3.84;1.86;8.36;4.67;7.78;2.06;4.14;2.86;2.18;16;11;7;7;30;42;8;6
Heremites vittatus;Gedikli village, Kozan, Adana, Turkey;27.04.2014;female;Anatolian;Anatolian_female;89;15.39;8.91;6.98;19.2;28.99;4.74;3.68;3.88;4.99;4;1.37;8.33;5.19;7.96;1.68;3.4;3.1;2.59;16;12;7;7;32;44;8;6
Heremites vittatus;Gedikli village, Kozan, Adana, Turkey;27.04.2014;female;Anatolian;Anatolian_female;70.95;12.84;6.09;6.08;15.15;23.8;3.88;2.89;3.17;4.55;3.38;1.32;8.16;4.55;7.03;1.86;3.02;2.65;2.28;17;12;7;7;32;45;8;6
Heremites vittatus;Gedikli village, Kozan, Adana, Turkey;27.04.2014;female;Anatolian;Anatolian_female;62.07;12.38;6.71;5.46;14.26;22.3;3.75;2.53;3.23;4.67;3.25;1.34;7.02;4.49;6.6;1.75;2.66;2.19;2.22;15;11;7;7;32;41;10;7
Heremites vittatus;Gedikli village, Kozan, Adana, Turkey;27.04.2014;female;Anatolian;Anatolian_female;63.98;12.38;6.62;5.22;12.66;22.71;3.54;3.05;3.29;4.1;3.93;0.95;7.64;3.93;6.56;1.61;2.33;2.12;2.05;16;13;8;7;30;40;8;6
Heremites vittatus;Bizgili village, Köse, Gümüþhane, Turkey;13.07.2014;female;Anatolian;Anatolian_female;86.36;13.77;10.2;7.93;17.69;27.71;3.05;3.81;3.91;5.63;4.06;1.73;7.83;4.36;8.37;1.99;3.33;2.85;2.5;17;11;7;7;31;42;8;5
Heremites vittatus;Bizgili village, Köse, Gümüþhane, Turkey;13.07.2014;female;Anatolian;Anatolian_female;81.54;13.57;9.02;5.83;17.75;26.61;3.19;3.83;4.13;5.32;4.03;1.56;7.55;4.23;8.21;1.9;3.41;2.9;2.37;17;12;7;7;30;41;8;5
Heremites vittatus;Uzuncaburç, Silifke, Mersin, Turkey;5.05.1995;female;Anatolian;Anatolian_female;75.57;14;7.9;5.98;16.19;23.43;4.08;3.09;3.62;5.15;3.77;1.76;8.53;4.99;7.37;1.92;3.2;2.2;2.56;16;11;7;7;32;40;8;6
Heremites vittatus;Uzuncaburç, Silifke, Mersin, Turkey;5.05.1995;female;Anatolian;Anatolian_female;64.16;12.39;7.31;5.21;14.5;22.01;3.6;2.75;3.42;4.65;4.01;1.37;9.56;4.96;7.3;1.75;2.58;2.2;2.32;17;12;7;7;32;41;8;6
Heremites vittatus;Uzuncaburç, Silifke, Mersin, Turkey;5.05.1995;female;Anatolian;Anatolian_female;61.87;12.21;7.16;5.36;13.42;21.76;3.73;2.86;3.4;4.31;3.32;1.47;7.42;3.92;6.67;1.4;2.76;2.25;2.29;16;11;7;7;31;43;8;6
Heremites vittatus;Uzuncaburç, Silifke, Mersin, Turkey;5.05.1995;female;Anatolian;Anatolian_female;88.16;15.1;9.19;6.84;18.51;27.64;4.67;3.48;3.92;5.34;4.15;1.57;8.8;4.57;8.42;1.91;3.28;3.02;2.61;16;11;7;7;32;42;8;6
Heremites vittatus;between Fýndýkpýnarý and Arslanköy 6. km, Mersin, Turkey;8.05.2002;female;Anatolian;Anatolian_female;70.48;13.72;8.11;6.53;16.77;26.6;3.92;3.39;4.07;5.23;3.23;1.8;8.51;4.51;7.78;1.57;3.26;2.82;2.23;17;11;7;7;33;44;8;6
Heremites vittatus;between Zeyne and Gülnar 85. km, Mersin, Turkey;10.05.2013;female;Anatolian;Anatolian_female;77.51;13.17;7.95;6.37;16.02;25.22;4.12;3.63;3.28;5.23;3.79;1.64;8.89;4.13;7.59;1.87;3.65;2.85;2.25;17;12;7;7;32;42;8;6
Heremites vittatus;Kuzucubelen, Mersin, Turkey;1.06.2013;female;Anatolian;Anatolian_female;69.31;12.6;8.01;6.32;13.88;22.74;3.56;3.23;3.34;4.99;3.33;1.52;7.79;4;7.37;1.88;3.41;2.38;2.25;18;12;6;7;31;42;10;6
Heremites vittatus;Namrun, Tarsus, Mersin, Turkey;17.05.1987;female;Anatolian;Anatolian_female;89.34;14.35;7.64;6.68;17.77;28.11;4.55;3.55;3.25;5.2;4.43;1.24;9.48;4.66;8.16;1.43;3.35;2.76;2.76;16;11;6;7;32;44;10;7
Heremites vittatus;Aydýncýk, Mersin, Turkey;13.04.1987;female;Anatolian;Anatolian_female;68.19;12.98;6.51;5.8;14.68;23.15;3.85;2.86;3.34;4.12;3.43;1.41;7.56;3.61;7.21;1.8;2.93;2.68;2.24;16;12;7;7;33;43;8;6
Heremites vittatus;Boðusak island, Silifke, Mersin, Turkey;11.04.1987;female;Anatolian;Anatolian_female;78.02;13.98;8.05;6.65;16.93;26.88;4.09;3.37;3.82;4.8;3.4;1.75;8.85;4.52;8;1.86;3.65;2.31;2.73;17;11;7;7;32;47;8;6
Heremites vittatus;Boðusak island, Silifke, Mersin, Turkey;11.04.1987;female;Anatolian;Anatolian_female;81.12;15.02;8.46;6.75;17.98;26.71;3.94;3.4;4.11;5.03;3.98;1.48;8.54;3.77;8.03;1.72;3.16;2.67;2.82;18;12;7;7;32;45;8;7
Heremites vittatus;Kozanlý, Mersin, Turkey;22.08.1994;female;Anatolian;Anatolian_female;75.87;13.6;6.68;5.38;17.35;26.94;4.05;3.27;3.42;4.35;3.61;1.41;9.1;4.38;7.82;1.87;3.09;2.05;2.27;16;12;7;7;32;44;10;6
Heremites vittatus;Kozanlý, Mersin, Turkey;22.08.1994;female;Anatolian;Anatolian_female;62.92;12.36;7.05;5.68;15.22;24.06;3.75;2.61;3.36;4.16;3.42;1.75;8.78;3.88;6.93;1.97;2.87;2.23;2.33;18;12;7;7;31;42;10;6
Heremites vittatus;Kýrobasý, Mersin, Turkey;21.05.1999;female;Anatolian;Anatolian_female;87.22;15.05;7.92;6.42;17.18;25.27;4.65;3.56;3.72;4.78;4.1;1.06;8.18;4.26;8.18;1.65;3.43;2.63;2.72;16;12;7;7;32;42;8;6
Heremites vittatus;Kýrobasý, Mersin, Turkey;21.05.1999;female;Anatolian;Anatolian_female;69.01;12.96;7.31;5.98;13.66;21.97;3.97;3.01;3.37;4.43;3.72;1.2;7.27;3.14;7.27;1.44;2.72;2.58;2.27;17;11;7;7;30;40;8;6
Heremites vittatus;Akkova, between Gülnar and Ermenek 20. km, Mersin, Turkey;22.05.1999;female;Anatolian;Anatolian_female;61.97;11.67;6.11;4.89;12.86;20.73;3.1;2.9;2.9;3.91;3.15;0.84;7.77;4.13;6.84;1.53;2.63;2.55;1.95;15;10;7;7;34;44;8;7
Heremites vittatus;Akkova, between Gülnar and Ermenek 20. km, Mersin, Turkey;22.05.1999;female;Anatolian;Anatolian_female;78.27;13.66;8.18;5.22;17.39;26.61;4.48;3.2;3.13;4.58;4.04;0.97;8.06;4.31;7.36;1.75;3.24;2.49;2.36;17;12;6;8;32;42;8;6
Heremites vittatus;Güzelyalý village, Oymapýnar, Manavgat, Antalya, Turkey;27.04.2013;female;Anatolian;Anatolian_female;76.93;13.14;7.96;6.59;16.15;24.16;3.87;2.92;3.52;4.9;4.08;1.47;8.44;3.72;7.55;1.62;3.11;2.5;1.98;16;10;7;6;32;42;8;6
Heremites vittatus;Sertavul Pass, between Mut and Karaman, Turkey;11.05.2013;female;Anatolian;Anatolian_female;75.97;13.23;8.02;6.39;16.09;23.75;3.51;3.44;4;5.34;3.5;1.71;7.56;3.79;7.79;2.51;2.89;2.71;2.45;16;11;7;7;32;44;8;7
Heremites vittatus;Sertavul Pass, between Mut and Karaman, Turkey;11.05.2013;female;Anatolian;Anatolian_female;72.17;11.91;7.29;5.69;14.62;22.67;3.53;3.58;4.5;4.97;3.81;1.47;7.28;4.52;7.26;2.22;2.47;2.64;2.48;17;12;7;7;32;43;8;6
Heremites vittatus;Sertavul Pass, between Mut and Karaman, Turkey;11.05.2013;female;Anatolian;Anatolian_female;70.15;12.4;7.32;6.03;16.39;23.03;3.33;3.43;3.92;4.96;3.64;1.3;7.99;3.88;7.35;2.03;2.9;2.36;2.15;16;11;7;7;33;39;8;6
Heremites vittatus;Sertavul Pass, between Mut and Karaman, Turkey;11.05.2013;female;Anatolian;Anatolian_female;69.91;12.17;7.73;6.01;15.62;21.6;3.02;3.06;3.96;4.74;3.49;1.22;7.7;4.1;7.19;1.56;3.27;2.45;2.22;16;12;7;7;32;41;8;6
Heremites vittatus;Çavuþlugöl, Ilgýn, Konya, Turkey;25.04.2014;female;Anatolian;Anatolian_female;83.77;14.54;9.02;7.79;17.77;28;4.41;3.04;4.16;6.21;3.95;1.58;8.87;5.23;7.86;2.13;3.82;2.78;2.51;16;12;7;7;33;39;8;6
Heremites vittatus;Çavuþlugöl, Ilgýn, Konya, Turkey;25.04.2014;female;Anatolian;Anatolian_female;66.54;12.94;7.68;6.6;15.95;24.06;3.94;2.6;3.5;5.31;4.16;1.4;8.78;5.19;6.97;1.35;3.17;2.7;2.38;15;12;7;7;32;40;8;6
Heremites vittatus;Ýnliceköy, Konya, Turkey;26.04.2014;female;Anatolian;Anatolian_female;82.55;14.02;8.85;6.87;17.23;25.73;4.09;3.08;4.12;5.97;4.09;1.61;9.2;5.4;8.29;1.94;3.47;3.02;2.5;15;11;7;7;30;41;8;6
